City,District,Ward,Street,address,area_value,price_value_trieu,price_per_m2_final
Hồ Chí Minh,Quận 1,,Đường Huỳnh Thúc Kháng,"Đường Huỳnh Thúc Kháng, Quận 1, Hồ Chí Minh",100.0,50.0,500000.0
Hồ Chí Minh,Quận 1,Phường Nguyễn Thái Bình,Đường Phó Đức Chính,"Đường Phó Đức Chính, Quận 1, Hồ Chí Minh",432.0,250.0,578703.7037037037
Hồ Chí Minh,Quận 1,Phường Bến Thành,Đường Lê Thị Riêng,"Đường Lê Thị Riêng, Quận 1, Hồ Chí Minh",54.0,50.0,925925.925925926
Hồ Chí Minh,Quận 1,,Đường Tôn Thất Tùng,"Đường Tôn Thất Tùng, Quận 1, Hồ Chí Minh",72.0,50.0,694444.4444444445
Hồ Chí Minh,Quận 1,,Đường Tôn Thất Tùng,"Đường Tôn Thất Tùng, Quận 1, Hồ Chí Minh",72.0,50.0,694444.4444444445
Hồ Chí Minh,Quận 1,,Đường Tôn Thất Tùng,"Đường Tôn Thất Tùng, Quận 1, Hồ Chí Minh",72.0,50.0,694444.4444444445
Hà Nội,Quận Thanh Xuân,Phường Thanh Xuân Bắc,Đường Lương Thế Vinh,"Đường Lương Thế Vinh, Thanh Xuân, Hà Nội",125.0,55.0,440000.0
Hồ Chí Minh,Quận 1,Phường Tân Định,Đường Đinh Công Tráng,"Đường Đinh Công Tráng, Quận 1, Hồ Chí Minh",126.0,98.0,777777.7777777778
Hồ Chí Minh,Quận 1,,Đường Nguyễn Du,"Đường Nguyễn Du, Quận 1, Hồ Chí Minh",270.0,830.0,3074074.074074074
Hồ Chí Minh,Quận 1,Phường Bến Thành,Đường Cách Mạng Tháng 8,"Đường Cách Mạng Tháng 8, Quận 1, Hồ Chí Minh",45.0,45.0,1000000.0
Hồ Chí Minh,Quận 1,Phường Nguyễn Thái Bình,Đường Phó Đức Chính,"Đường Phó Đức Chính, Quận 1, Hồ Chí Minh",80.0,75.0,937500.0
Hồ Chí Minh,Quận 3,,Đường Rạch Bùng Binh,"Đường Rạch Bùng Binh, Quận 3, Hồ Chí Minh",150.0,130.0,866666.6666666666
Hồ Chí Minh,Quận 5,,Đường Nguyễn Trãi,"Đường Nguyễn Trãi, Quận 5, Hồ Chí Minh",96.0,120.0,1250000.0
Hà Nội,Quận Hoàn Kiếm,Phường Trần Hưng Đạo,Đường Quang Trung,"Đường Quang Trung, Hoàn Kiếm, Hà Nội",60.0,75.0,1250000.0
Hồ Chí Minh,Quận Phú Nhuận,,Đường Nguyễn Văn Trỗi,"Đường Nguyễn Văn Trỗi, Phú Nhuận, Hồ Chí Minh",180.0,49.99999999999999,277777.77777777775
Hồ Chí Minh,Quận Phú Nhuận,,Đường Nguyễn Văn Trỗi,"Đường Nguyễn Văn Trỗi, Phú Nhuận, Hồ Chí Minh",70.0,150.0,2142857.1428571427
Hồ Chí Minh,Quận Phú Nhuận,,Đường Nguyễn Văn Trỗi,"Đường Nguyễn Văn Trỗi, Phú Nhuận, Hồ Chí Minh",200.0,300.0,1500000.0
Hà Nội,Quận Hà Đông,,Đường Quang Trung,"Đường Quang Trung, Hà Đông, Hà Nội",75.0,60.0,800000.0
Hồ Chí Minh,Quận 1,,Đường Trần Hưng Đạo,"Đường Trần Hưng Đạo, Quận 1, Hồ Chí Minh",210.0,450.0,2142857.1428571427
Hà Nội,Quận Thanh Xuân,Phường Khương Trung,Đường Tô Vĩnh Diện,"Đường Tô Vĩnh Diện, Thanh Xuân, Hà Nội",80.0,28.0,350000.0
Hà Nội,Quận Hà Đông,,Đường Quang Trung,"Đường Quang Trung, Hà Đông, Hà Nội",60.0,15.0,250000.0
Hồ Chí Minh,Quận 5,,Đường Nguyễn Trãi,"Đường Nguyễn Trãi, Quận 5, Hồ Chí Minh",50.0,43.0,860000.0
Hà Nội,Quận Hai Bà Trưng,Phường Nguyễn Du,Đường Bà Triệu,"Đường Bà Triệu, Hai Bà Trưng, Hà Nội",22.0,25.000000000000004,1136363.6363636365
Hà Nội,Quận Hai Bà Trưng,Phường Thanh Lương,Ngõ 230 Lạc Trung,"Đường Lạc Trung, Hai Bà Trưng, Hà Nội",45.0,24.999999999999996,555555.5555555555
Hà Nội,Quận Hai Bà Trưng,,Đường Đại Cồ Việt,"Đường Đại Cồ Việt, Hai Bà Trưng, Hà Nội",40.0,25.0,625000.0
Hà Nội,Quận Thanh Xuân,Phường Thanh Xuân Trung,Đường Nguyễn Trãi,"245, Đường Nguyễn Trãi, Thanh Xuân, Hà Nội",45.0,18.0,400000.0
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,Phố Duy Tân,"Đường Duy Tân, Cầu Giấy, Hà Nội",100.0,110.0,1100000.0
Hồ Chí Minh,Quận 3,Phường Võ Thị Sáu,Đường Trần Quốc Toản,"Đường Trần Quốc Toản, Quận 3, Hồ Chí Minh",533.0,100.0,187617.2607879925
Hồ Chí Minh,Quận 4,Phường 3,Đường Khánh Hội,"Đường Khánh Hội, Quận 4, Hồ Chí Minh",1110.0,110.0,99099.0990990991
Hồ Chí Minh,Quận Phú Nhuận,,,"Phú Nhuận, Hồ Chí Minh",240.0,350.0,1458333.3333333333
Hồ Chí Minh,Quận 3,Phường Võ Thị Sáu,Đường Lý Chính Thắng,"Đường Lý Chính Thắng, Quận 3, Hồ Chí Minh",140.0,250.0,1785714.2857142857
Hà Nội,Quận Hai Bà Trưng,,,"Đường Bùi Thị Xuân, Hai Bà Trưng, Hà Nội",150.0,188.0,1253333.3333333333
Hà Nội,Quận Hoàn Kiếm,Phường Hàng Trống,Đường Hàng Trống,"Đường Hàng Trống, Hoàn Kiếm, Hà Nội",50.0,50.0,1000000.0
Hồ Chí Minh,Quận 10,,Đường Sư Vạn Hạnh,"Đường Sư Vạn Hạnh, Quận 10, Hồ Chí Minh",218.0,100.0,458715.59633027524
Hồ Chí Minh,Quận 10,,Đường Tô Hiến Thành,"Đường Tô Hiến Thành, Quận 10, Hồ Chí Minh",100.0,80.0,800000.0
Hồ Chí Minh,Quận 1,,Đường Nguyễn Công Trứ,"Đường Nguyễn Công Trứ, Quận 1, Hồ Chí Minh",90.0,70.0,777777.7777777778
Hồ Chí Minh,Quận 1,,Đường Hai Bà Trưng,"Đường Hai Bà Trưng, Quận 1, Hồ Chí Minh",50.0,70.0,1400000.0
Hồ Chí Minh,Quận 10,Phường 15,Đường Cách Mạng Tháng Tám,"Đường Cách Mạng Tháng Tám, Quận 10, Hồ Chí Minh",125.0,65.0,520000.0
Hồ Chí Minh,Quận Phú Nhuận,,Đường Trường Sa,"Đường Trường Sa, Phú Nhuận, Hồ Chí Minh",18.0,65.0,3611111.111111111
Hà Nội,Quận Hai Bà Trưng,Phường Đồng Tâm,Ngõ 67 Lê Thanh Nghị,"Đường Lê Thanh Nghị, Hai Bà Trưng, Hà Nội",60.0,42.0,700000.0
Hà Nội,Quận Hai Bà Trưng,Phường Nguyễn Du,Đường Mai Hắc Đế,"Đường Mai Hắc Đế, Hai Bà Trưng, Hà Nội",50.0,50.0,1000000.0
Hà Nội,Quận Hai Bà Trưng,Phường Phạm Đình Hổ,Phố Ngô Thì Nhậm,"Đường Ngô Thì Nhậm, Hai Bà Trưng, Hà Nội",55.0,55.0,1000000.0
Hà Nội,Quận Hai Bà Trưng,Phường Thanh Lương,Ngõ 230 Lạc Trung,"Đường Lạc Trung, Hai Bà Trưng, Hà Nội",120.0,50.0,416666.6666666667
Hà Nội,Quận Hoàn Kiếm,Phường Hàng Mã,Phố Hàng Lược,"Đường Hàng Lược, Hoàn Kiếm, Hà Nội",60.0,40.0,666666.6666666666
Hà Nội,Quận Cầu Giấy,Phường Yên Hòa,Đường Nguyễn Khang,"Đường Nguyễn Khang, Cầu Giấy, Hà Nội",90.0,135.0,1500000.0
Hà Nội,Quận Hà Đông,Phường Vạn Phúc,Đường Tố Hữu,"Đường Tố Hữu, Hà Đông, Hà Nội",300.0,160.0,533333.3333333334
Hà Nội,Quận Hà Đông,Phường La Khê,Đường Văn Khê,"Đường Văn Quán, Hà Đông, Hà Nội",90.0,27.0,300000.0
Hà Nội,Quận Đống Đa,Phường Láng Thượng,Phố Chùa Láng,"Đường Chùa Láng, Đống Đa, Hà Nội",70.0,80.0,1142857.142857143
Hà Nội,Quận Hai Bà Trưng,,Phố Huế,"Đường Phố Huế, Hai Bà Trưng, Hà Nội",100.0,30.0,300000.0
Hồ Chí Minh,Quận 10,Phường 5,Đường Nguyễn Tri Phương,"Đường Nguyễn Tri Phương, Quận 10, Hồ Chí Minh",60.0,75.0,1250000.0
Hồ Chí Minh,Quận 10,,,"Quận 10, Hồ Chí Minh",60.0,80.0,1333333.3333333333
Hồ Chí Minh,Quận 1,,,"Quận 1, Hồ Chí Minh",64.0,50.0,781250.0
Hồ Chí Minh,Quận 3,,,"Quận 3, Hồ Chí Minh",96.0,50.0,520833.3333333333
Hồ Chí Minh,Quận 1,,,"Quận 1, Hồ Chí Minh",90.0,90.0,1000000.0
Hồ Chí Minh,Quận 1,,,"Quận 1, Hồ Chí Minh",50.0,120.0,2400000.0
Hồ Chí Minh,Quận Phú Nhuận,,,"Phú Nhuận, Hồ Chí Minh",92.0,48.0,521739.1304347826
Hà Nội,Quận Đống Đa,Phường Ô Chợ Dừa,Phố Võ Văn Dũng,"Đường Võ Văn Dũng, Đống Đa, Hà Nội",50.0,40.0,800000.0
Hà Nội,Quận Đống Đa,,Đường Thái Hà,"Đường Thái Hà, Đống Đa, Hà Nội",50.0,55.0,1100000.0
Hà Nội,Quận Hoàn Kiếm,Phường Trần Hưng Đạo,Đường Lý Thường Kiệt,"Đường Lý Thường Kiệt, Hoàn Kiếm, Hà Nội",75.0,60.0,800000.0
Hà Nội,Quận Cầu Giấy,,Đường Phạm Văn Đồng,"Đường Phạm Văn Đồng, Cầu Giấy, Hà Nội",60.0,16.000000000000004,266666.6666666667
Hà Nội,Quận Cầu Giấy,Phường Trung Hòa,Đường Đỗ Quang,"Đường Đỗ Quang, Cầu Giấy, Hà Nội",90.0,49.99999999999999,555555.5555555555
Hà Nội,Quận Hà Đông,,Đường Quang Trung,"Đường Quang Trung, Hà Đông, Hà Nội",60.0,15.0,250000.0
Hà Nội,Quận Cầu Giấy,Phường Trung Hòa,Đường Trần Duy Hưng,"Đường Trần Duy Hưng, Cầu Giấy, Hà Nội",60.0,70.0,1166666.6666666667
Hà Nội,Quận Hà Đông,Phường Mộ Lao,Đường Nguyễn Văn Lộc,"Đường Nguyễn Văn Lộc, Hà Đông, Hà Nội",75.0,14.0,186666.66666666666
Hồ Chí Minh,Quận 3,,,"Quận 3, Hồ Chí Minh",55.0,50.0,909090.9090909091
Hồ Chí Minh,Quận 1,,,"Quận 1, Hồ Chí Minh",104.0,150.0,1442307.6923076923
Hồ Chí Minh,Quận Bình Thạnh,,Đường Nguyễn Văn Đậu,"Đường Nguyễn Văn Đậu, Bình Thạnh, Hồ Chí Minh",88.0,45.0,511363.63636363635
Hồ Chí Minh,Quận Bình Thạnh,,Đường Ung Văn Khiêm,"Đường Ung Văn Khiêm, Bình Thạnh, Hồ Chí Minh",300.0,90.0,300000.0
Hồ Chí Minh,Quận 1,Phường Cầu Ông Lãnh,Đường Nguyễn Thái Học,"Đường Nguyễn Thái Học, Quận 1, Hồ Chí Minh",80.0,60.0,750000.0
Hồ Chí Minh,Quận 11,Phường 16,Hẻm 1319 Đường 3/2,"Đường 3/2, Quận 11, Hồ Chí Minh",75.0,100.0,1333333.3333333333
Hà Nội,Quận Thanh Xuân,,Đường Khương Đình,"Đường Khương Đình, Thanh Xuân, Hà Nội",70.0,30.0,428571.4285714286
Hà Nội,Quận Thanh Xuân,Phường Khương Mai,Đường Nguyễn Ngọc Nại,"Đường Nguyễn Ngọc Nại, Thanh Xuân, Hà Nội",90.0,30.0,333333.3333333333
Hồ Chí Minh,Quận 5,,Đường Lê Hồng Phong,"Đường Lê Hồng Phong, Quận 5, Hồ Chí Minh",140.0,350.0,2500000.0
Hà Nội,Quận Đống Đa,Phường Láng Thượng,Đường Láng,"Đường Yên Lãng, Đống Đa, Hà Nội",111.0,150.0,1351351.3513513512
Hà Nội,Quận Cầu Giấy,,Đường Phạm Văn Đồng,"Đường Phạm Văn Đồng, Cầu Giấy, Hà Nội",60.0,16.000000000000004,266666.6666666667
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng,Đường Khúc Thừa Dụ,"Đường Khúc Thừa Dụ, Cầu Giấy, Hà Nội",120.0,86.0,716666.6666666666
Hà Nội,Quận Đống Đa,Phường Ô Chợ Dừa,Đường Mai Anh Tuấn,"Đường Mai Anh Tuấn, Đống Đa, Hà Nội",70.0,23.0,328571.4285714286
Hà Nội,Quận Hoàn Kiếm,Phường Hàng Gai,Phố Hàng Quạt,"Đường Nhà Thờ, Hoàn Kiếm, Hà Nội",35.0,45.0,1285714.2857142857
Hà Nội,Quận Hoàn Kiếm,Phường Lý Thái Tổ,Phố Lò Sũ,"Đường Lò Sũ, Hoàn Kiếm, Hà Nội",60.0,20.0,333333.3333333333
Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bồ,Phố Thuốc Bắc,"Đường Thuốc Bắc, Hoàn Kiếm, Hà Nội",90.0,40.0,444444.44444444444
Hà Nội,Quận Đống Đa,Phường Khâm Thiên,Đường Khâm Thiên,"Đường Khâm Thiên, Đống Đa, Hà Nội",60.0,20.0,333333.3333333333
Hồ Chí Minh,Quận 1,Phường Bến Thành,Đường Nguyễn Văn Tráng,"Đường Nguyễn Văn Tráng, Quận 1, Hồ Chí Minh",80.0,100.0,1250000.0
Hồ Chí Minh,Quận 3,Phường Võ Thị Sáu,Đường Trương Quyền,"Đường Trương Quyền, Quận 3, Hồ Chí Minh",56.0,100.0,1785714.2857142857
Hồ Chí Minh,Quận 10,Phường 12,Đường 3/2,"Đường 3/2, Quận 10, Hồ Chí Minh",106.0,170.0,1603773.5849056605
Hồ Chí Minh,Quận 1,Phường Nguyễn Cư Trinh,Đường Phạm Viết Chánh,"Đường Phạm Viết Chánh, Quận 1, Hồ Chí Minh",90.0,120.0,1333333.3333333333
Hồ Chí Minh,Quận 1,,Đường Bùi Thị Xuân,"Đường Bùi Thị Xuân, Quận 1, Hồ Chí Minh",70.0,80.0,1142857.142857143
Hà Nội,Quận Hai Bà Trưng,,Đường Đại Cồ Việt,"Đường Đại Cồ Việt, Hai Bà Trưng, Hà Nội",40.0,25.0,625000.0
Hồ Chí Minh,Quận 1,Phường Bến Thành,Đường Cách Mạng Tháng 8,"Đường Cách Mạng Tháng 8, Quận 1, Hồ Chí Minh",45.0,45.0,1000000.0
Hồ Chí Minh,Quận 1,,Đường Nguyễn Du,"Đường Nguyễn Du, Quận 1, Hồ Chí Minh",270.0,830.0,3074074.074074074
Hà Nội,Quận Hoàn Kiếm,,Đường Hàng Khoai,"Đường Hàng Khoai, Hoàn Kiếm, Hà Nội",100.0,60.0,600000.0
Hồ Chí Minh,Quận 1,,Đường Nguyễn Trãi,"Đường Nguyễn Trãi, Quận 1, Hồ Chí Minh",121.0,68000.0,561983471.0743802
Hà Nội,Quận Đống Đa,Phường Trung Liệt,Đường Nguyễn Văn Tuyết,"Đường Nguyễn Văn Tuyết, Đống Đa, Hà Nội",50.0,50.0,1000000.0
Hà Nội,Quận Đống Đa,Phường Trung Liệt,Đường Đặng Tiến Đông,"Đường Đặng Tiến Đông, Đống Đa, Hà Nội",40.0,40.0,1000000.0
Hà Nội,Quận Đống Đa,Phường Phương Liên,Phố Xã Đàn,"Đường Xã Đàn, Đống Đa, Hà Nội",50.0,37.0,740000.0
Hồ Chí Minh,Quận 10,Phường 12,Đường 3/2,"Đường 3/2, Quận 10, Hồ Chí Minh",110.0,100.0,909090.9090909091
Hồ Chí Minh,Quận 1,Phường Bến Nghé,Đường Ngô Đức Kế,"Đường Ngô Đức Kế, Quận 1, Hồ Chí Minh",144.0,380.0,2638888.888888889
Hồ Chí Minh,Quận 1,,,"Quận 1, Hồ Chí Minh",44.0,100.00000000000001,2272727.272727273
Hồ Chí Minh,Quận 3,,Đường Nguyễn Thị Minh Khai,"Đường Nguyễn Thị Minh Khai, Quận 3, Hồ Chí Minh",170.0,600.0,3529411.7647058824
Hồ Chí Minh,Quận 1,,Đường Nguyễn Thị Minh Khai,"Đường Nguyễn Thị Minh Khai, Quận 1, Hồ Chí Minh",300.0,237.0,790000.0
Hồ Chí Minh,Quận 3,,Đường Cách Mạng Tháng Tám,"Đường Cách Mạng Tháng Tám, Quận 3, Hồ Chí Minh",64.0,50.0,781250.0
Hồ Chí Minh,Quận 1,Phường Đa Kao,Đường Điện Biên Phủ,"Đường Điện Biên Phủ, Quận 1, Hồ Chí Minh",132.0,180.0,1363636.3636363635
Hồ Chí Minh,Quận 3,,,"Quận 3, Hồ Chí Minh",96.0,50.0,520833.3333333333
Hồ Chí Minh,Quận 1,,,"Quận 1, Hồ Chí Minh",90.0,90.0,1000000.0
Hồ Chí Minh,Quận Phú Nhuận,,,"Phú Nhuận, Hồ Chí Minh",92.0,48.0,521739.1304347826
Hồ Chí Minh,Quận 1,,,"Quận 1, Hồ Chí Minh",50.0,120.0,2400000.0
Hồ Chí Minh,Quận 1,,,"Quận 1, Hồ Chí Minh",1600.0,550.0,343750.0
Hồ Chí Minh,Quận 1,Phường Nguyễn Thái Bình,Đường Lê Công Kiều,"Đường Lê Công Kiều, Quận 1, Hồ Chí Minh",68.0,50.0,735294.1176470588
Hồ Chí Minh,Quận 3,,Đường Bà Huyện Thanh Quan,"Đường Bà Huyện Thanh Quan, Quận 3, Hồ Chí Minh",240.0,200.0,833333.3333333334
Hồ Chí Minh,Quận 3,Phường Võ Thị Sáu,Đường Tú Xương,"Đường Tú Xương, Quận 1, Hồ Chí Minh",420.0,469.99999999999994,1119047.619047619
Hồ Chí Minh,Quận 1,Phường Nguyễn Thái Bình,Đường Ký Con,"Đường Ký Con, Quận 1, Hồ Chí Minh",90.0,180.0,2000000.0
Hồ Chí Minh,Quận 1,,Đường Mạc Đĩnh Chi,"Đường Mạc Đĩnh Chi, Quận 1, Hồ Chí Minh",342.0,550.0,1608187.134502924
Hồ Chí Minh,Quận 1,Phường Nguyễn Thái Bình,Đường Phó Đức Chính,"Đường Phó Đức Chính, Quận 1, Hồ Chí Minh",80.0,75.0,937500.0
Hồ Chí Minh,Quận 1,Phường Tân Định,Đường Đinh Công Tráng,"Đường Đinh Công Tráng, Quận 1, Hồ Chí Minh",126.0,98.0,777777.7777777778
Hồ Chí Minh,Quận 1,,Đường Nguyễn Du,"Đường Nguyễn Du, Quận 1, Hồ Chí Minh",270.0,830.0,3074074.074074074
Hồ Chí Minh,Quận 1,Phường Bến Thành,Đường Cách Mạng Tháng 8,"Đường Cách Mạng Tháng 8, Quận 1, Hồ Chí Minh",45.0,45.0,1000000.0
Hồ Chí Minh,Quận 1,,Đường Yersin,"Đường Yersin, Quận 1, Hồ Chí Minh",84.0,90.0,1071428.5714285714
Hồ Chí Minh,Quận 1,Phường Tân Định,Đường Lý Văn Phức,"Đường Lý Văn Phức, Quận 1, Hồ Chí Minh",240.0,120.0,500000.0
Hà Nội,Quận Thanh Xuân,,Đường Nguyễn Trãi,"Đường Nguyễn Trãi, Thanh Xuân, Hà Nội",90.0,65.0,722222.2222222222
Hồ Chí Minh,Quận 1,Phường Nguyễn Thái Bình,Đường Lê Công Kiều,"Đường Lê Công Kiều, Quận 1, Hồ Chí Minh",68.0,50.0,735294.1176470588
Hồ Chí Minh,Quận 3,Phường Võ Thị Sáu,Đường Tú Xương,"Đường Tú Xương, Quận 3, Hồ Chí Minh",420.0,469.99999999999994,1119047.619047619
Hồ Chí Minh,Quận 10,,Đường Ngô Gia Tự,"Đường Ngô Gia Tự, Quận 10, Hồ Chí Minh",56.0,90.0,1607142.857142857
Hà Nội,Quận Thanh Xuân,,Đường Trường Chinh,"Đường Trường Chinh, Thanh Xuân, Hà Nội",50.0,50.0,1000000.0
Hà Nội,Quận Đống Đa,,Đường Thái Hà,"Đường Thái Hà, Đống Đa, Hà Nội",90.0,99.99999999999999,1111111.111111111
Hà Nội,Quận Đống Đa,,Đường Thái Hà,"Đường Thái Hà, Đống Đa, Hà Nội",70.0,70.0,1000000.0
Hà Nội,Quận Hoàn Kiếm,Phường Cửa Đông,Phố Hàng Da,"Đường Hàng Da, Hoàn Kiếm, Hà Nội",26.0,50.0,1923076.923076923
Hà Nội,Quận Hoàn Kiếm,Hà Nội,,"Hoàn Kiếm, Hà Nội",34.0,55.0,1617647.0588235294
Hồ Chí Minh,Quận 1,,,"Quận 1, Hồ Chí Minh",50.0,120.0,2400000.0
Hồ Chí Minh,Quận 1,,,"Quận 1, Hồ Chí Minh",1600.0,550.0,343750.0
Hồ Chí Minh,Quận 1,,,"Quận 1, Hồ Chí Minh",80.0,90.0,1125000.0
Hà Nội,Quận Thanh Xuân,Phường Phương Liệt,Phố Hà Kế Tấn,"Đường Hà Kế Tấn, Thanh Xuân, Hà Nội",80.0,30.0,375000.0
Hồ Chí Minh,Quận 1,,,"Quận 1, Hồ Chí Minh",55.0,50.0,909090.9090909091
Hồ Chí Minh,Quận 10,,,"Quận 10, Hồ Chí Minh",160.0,90.0,562500.0
Hồ Chí Minh,Quận 7,,,"Quận 7, Hồ Chí Minh",480.0,150.0,312500.0
Hồ Chí Minh,Quận 3,,,"Quận 3, Hồ Chí Minh",55.0,50.0,909090.9090909091
